destination_id,destination_name,region,category,popularity,best_time,Type,Zone,time needed to visit in hrs,Google review rating,budget
1,India Gate,Delhi,historical,4.52,sep-mar,War Memorial,northern,0.5,4.6,low
2,Humayun'S Tomb,Delhi,historical,3.65,nov-feb,Tomb,northern,2,4.5,medium
3,Akshardham Temple,Delhi,religious,4.46,nov-feb,Temple,northern,5,4.6,low
4,Waste To Wonder Park,Delhi,entertainment,3.6,nov-feb,Theme Park,northern,2,4.1,high
5,Jantar Mantar,Delhi,cultural,3.82,sep-mar,Observatory,northern,2,4.2,medium
6,Chandni Chowk,Delhi,city,3.77,oct-feb,Market,northern,3,4.2,medium
7,Lotus Temple,Delhi,religious,3.81,nov-feb,Temple,northern,1,4.5,low
8,Red Fort,Delhi,historical,4.1,oct-feb,Fort,northern,2,4.5,medium
9,Agrasen Ki Baoli,Delhi,city,4.51,sep-mar,Stepwell,northern,1,4.2,medium
10,Sunder Nursery,Delhi,city,4.59,sep-mar,Park,northern,2,4.6,low
11,Garden Of Five Senses,Delhi,city,4.11,oct-feb,Park,northern,2,4.1,low
12,Lodhi Garden,Delhi,city,4.11,sep-mar,Park,northern,1,4.5,low
13,National Gallery Of Modern Art,Delhi,cultural,4.39,oct-mar,Museum,northern,3,4.5,medium
14,National Zoological Park,Delhi,historical,3.57,nov-feb,War Memorial,northern,0.5,4.6,low
15,Qutub Minar,Delhi,historical,4.2,oct-mar,Monument,northern,1,4.5,medium
16,National Science Centre,Delhi,cultural,4.36,oct-mar,Science,northern,5,4.4,medium
17,Marine Drive,Maharashtra,city,3.81,oct-mar,Promenade,western,2,4.5,medium
18,Gateway Of India,Maharashtra,historical,4.54,nov-feb,Monument,western,1,4.6,medium
19,Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,Maharashtra,cultural,4.16,oct-mar,Museum,western,1,4.6,medium
20,Sanjay Gandhi National Park,Maharashtra,wildlife,3.64,sep-mar,National Park,western,3,4.3,medium
21,Siddhivinayak Temple,Maharashtra,religious,4.51,oct-feb,Temple,western,2,4.8,low
22,Mahalaxmi Temple,Maharashtra,religious,4.65,nov-feb,Temple,western,1,4.7,low
23,Haji Ali Dargah,Maharashtra,religious,3.79,oct-mar,Religious Shrine,western,2,4.4,medium
24,Chowpatty Beach,Maharashtra,nature,3.61,oct-feb,Beach,western,2,4.3,low
25,Essel World,Maharashtra,entertainment,3.71,nov-feb,Amusement Park,western,5,4.3,high
26,Elephanta Caves,Maharashtra,historical,4.17,sep-mar,Monument,western,4,4.3,medium
27,Imagicaa,Maharashtra,entertainment,4.74,oct-mar,Amusement Park,western,5,1.4,high
28,Bangalore Palace,Karnataka,historical,4.38,oct-feb,Palace,southern,2,4.2,medium
29,Lalbagh Botanical Garden,Karnataka,city,4.75,sep-mar,Botanical Garden,southern,1.5,4.4,medium
30,Cubbon Park,Karnataka,city,3.95,sep-mar,Park,southern,1,4.4,low
31,Vidhana Soudha,Karnataka,city,3.6,nov-feb,Government Building,southern,0.5,4.6,medium
32,Iskcon Temple Bangalore,Karnataka,religious,4.44,sep-mar,Temple,southern,1,4.6,low
33,Charminar,Telangana,city,3.62,sep-mar,Landmark,southern,1,4.5,medium
34,Golconda Fort,Telangana,historical,3.54,nov-feb,Fort,southern,2,4.4,medium
35,Hussain Sagar Lake,Telangana,nature,4.77,nov-feb,Lake,southern,1,4.3,low
36,Ramoji Film City,Telangana,entertainment,4.12,nov-feb,Film Studio,southern,4,4.4,high
37,Salar Jung Museum,Telangana,cultural,4.05,sep-mar,Museum,southern,2,4.4,medium
38,Qutb Shahi Tombs,Telangana,historical,4.31,sep-mar,Tombs,southern,1,4.4,medium
39,Birla Mandir,Telangana,religious,3.95,sep-mar,Temple,southern,1,4.7,low
40,Chowmahalla Palace,Telangana,historical,3.54,oct-mar,Palace,southern,1.5,4.4,medium
41,Nehru Zoological Park,Telangana,wildlife,4.69,oct-feb,Zoo,southern,3,4.2,medium
42,Lumbini Park,Telangana,city,4.6,nov-feb,Park,southern,1,4.1,low
43,Victoria Memorial,West Bengal,cultural,4.12,sep-mar,Museum,eastern,1.5,4.6,medium
44,Howrah Bridge,West Bengal,city,3.94,sep-mar,Bridge,eastern,0.5,4.6,medium
45,Indian Museum,West Bengal,cultural,4.31,oct-mar,Museum,eastern,2,4.6,medium
46,Dakshineswar Kali Temple,West Bengal,religious,4.29,nov-feb,Temple,eastern,1,4.7,low
47,Kalighat Kali Temple,West Bengal,religious,3.73,oct-feb,Temple,eastern,1,4.4,low
48,Eden Gardens,West Bengal,city,3.98,oct-feb,Cricket Ground,eastern,3,4.1,medium
49,Alipore Zoological Gardens,West Bengal,wildlife,3.53,nov-feb,Zoo,eastern,2,4.3,medium
50,Science City Kolkata,West Bengal,cultural,3.66,sep-mar,Science,eastern,3,4.4,medium
51,Belur Math,West Bengal,historical,4.23,oct-mar,Site,eastern,1.5,4.7,medium
52,Marble Palace,West Bengal,historical,4.54,nov-feb,Palace,eastern,1,4.4,medium
53,Calangute Beach,Goa,nature,4.12,oct-feb,Beach,western,2,4.4,low
54,Basilica Of Bom Jesus,Goa,religious,4.49,oct-mar,Church,western,1,4.5,low
55,Fort Aguada,Goa,historical,4.8,oct-feb,Fort,western,1.5,4.2,medium
56,Dudhsagar Falls,Goa,nature,3.91,oct-feb,Waterfall,western,3,4.6,medium
57,Anjuna Beach,Goa,nature,3.89,oct-mar,Beach,western,2,4.4,low
58,Chapora Fort,Goa,historical,4.05,oct-feb,Fort,western,1,4.2,medium
59,Se Cathedral,Goa,religious,4.45,oct-feb,Church,western,1,4.5,low
60,Baga Beach,Goa,nature,4.72,oct-mar,Beach,western,2,4.5,low
61,Arambol Beach,Goa,nature,4.45,oct-mar,Beach,western,2,4.6,low
62,Palolem Beach,Goa,nature,4.68,oct-feb,Beach,western,2,4.6,low
63,Colva Beach,Goa,nature,3.7,oct-mar,Beach,western,2,4.3,low
64,Miramar Beach,Goa,nature,4.68,nov-feb,Beach,western,1.5,4.2,low
65,Aguada Beach,Goa,nature,4.26,oct-mar,Beach,western,2,4.5,low
66,Dr. Salim Ali Bird Santuary,Goa,wildlife,4.18,oct-mar,Bird Sanctuary,western,2,3.9,medium
67,Sabarmati Ashram,Gujarat,historical,4.54,oct-feb,Historical,western,1.5,4.6,medium
68,Dwarkadhish Temple,Gujarat,religious,3.71,oct-feb,Temple,western,2,4.7,low
69,Gir National Park,Gujarat,wildlife,4.7,oct-feb,National Park,western,3,4.5,medium
70,White Desert,Gujarat,historical,4.7,oct-feb,Site,western,2.5,4.6,medium
71,Laxmi Vilas Palace,Gujarat,historical,4.25,nov-feb,Palace,western,2,4.4,medium
72,Somnath Temple,Gujarat,religious,4.39,nov-feb,Temple,western,2,4.8,low
73,Rann Utsav,Gujarat,cultural,3.95,sep-mar,Cultural,western,3,4.9,medium
74,Statue Of Unity,Gujarat,historical,3.75,nov-feb,Monument,western,3,4.6,medium
75,Dandi Kutir,Gujarat,cultural,3.71,nov-feb,Museum,western,1.5,4.5,medium
76,Sabarmati Riverfront,Gujarat,city,3.62,nov-feb,Urban Development Project,western,1,4.6,medium
77,Manek Chowk,Gujarat,city,4.73,oct-feb,Market,western,2,4.4,medium
78,Kankaria Lake,Gujarat,nature,4.61,nov-feb,Lake,western,3,4.5,low
79,Science City,Gujarat,cultural,4.79,sep-mar,Science,western,7,4.4,medium
80,Hawa Mahal,Rajasthan,historical,4.76,oct-mar,Palace,western,1,4.4,medium
81,City Palace,Rajasthan,historical,3.62,oct-feb,Palace,western,2,4.4,medium
82,City Palace,Rajasthan,historical,3.62,oct-feb,Palace,western,2,4.4,medium
83,Jaisalmer Fort,Rajasthan,historical,4.52,oct-mar,Fort,western,2.5,4.4,medium
84,Ranthambore National Park,Rajasthan,wildlife,3.85,oct-mar,Wildlife Sanctuary,western,3,4.6,medium
85,Pushkar Lake,Rajasthan,religious,4.6,sep-mar,Temple,western,1.5,4.4,low
86,Ajmer Sharif Dargah,Rajasthan,religious,4.72,oct-mar,Shrine,western,1,4.6,low
87,Mehrangarh Fort,Rajasthan,historical,3.98,nov-feb,Fort,western,2,4.6,medium
88,Chittorgarh Fort,Rajasthan,historical,4.3,oct-feb,Fort,western,2,4.6,medium
89,Dilwara Temples,Rajasthan,religious,3.69,nov-feb,Temple,western,1,4.6,low
90,Junagarh Fort,Rajasthan,historical,4.73,nov-feb,Fort,western,2,4.5,medium
91,Amber Fort,Rajasthan,historical,4.55,oct-mar,Fort,western,2,4.6,medium
92,Jaigarh Fort,Rajasthan,historical,3.73,sep-mar,Fort,western,1.5,4.5,medium
93,Lake Pichola,Rajasthan,nature,4.43,sep-mar,Lake,western,1,4.6,low
94,Golden Temple (Harmandir Sahib),Punjab,religious,4.02,nov-feb,Religious Site,northern,1.5,4.9,low
95,Jallianwala Bagh,Punjab,historical,3.81,oct-feb,Memorial,northern,1,4.8,low
96,Wagah Border,Punjab,city,4.65,oct-mar,Border Crossing,northern,2,4.8,medium
97,Rock Garden,Punjab,cultural,4.06,oct-mar,Sculpture Garden,northern,2,4.5,medium
98,Alappuzha Beach,Kerala,nature,3.59,nov-feb,Beach,southern,1.5,4.5,low
99,Munnar Tea Gardens,Kerala,nature,4.45,nov-feb,Scenic Area,southern,2,4.3,medium
100,Fort Kochi,Kerala,historical,3.64,oct-feb,Site,southern,1,4.4,medium
101,Padmanabhaswamy Temple,Kerala,religious,3.64,oct-feb,Temple,southern,1,4.7,low
102,Kozhikode Beach,Kerala,nature,3.92,oct-feb,Beach,southern,1.5,3.9,low
103,Wayanad Wildlife Sanctuary,Kerala,wildlife,3.85,oct-mar,Wildlife Sanctuary,southern,3,4.5,medium
104,Periyar National Park,Kerala,wildlife,4.41,oct-feb,National Park,southern,3,4.3,medium
105,Kumarakom Bird Sanctuary,Kerala,wildlife,3.82,oct-feb,Bird Sanctuary,southern,2,3.8,medium
106,Varkala Beach,Kerala,nature,4.18,oct-mar,Beach,southern,2,4.6,low
107,Bekal Fort,Kerala,historical,3.67,sep-mar,Fort,southern,1.5,4.5,medium
108,Kovalam Beach,Kerala,nature,4.08,oct-mar,Beach,southern,2,4.4,low
109,St. Angelo Fort,Kerala,historical,3.52,oct-feb,Fort,southern,1,4.4,medium
110,Seethargundu Viewpoint,Kerala,nature,4.73,oct-mar,Viewpoint,southern,1,4.5,low
111,Kerala Folklore Museum,Kerala,cultural,4.26,oct-feb,Cultural,southern,1.5,4.4,medium
112,Wonderla Amusement Park,Kerala,entertainment,4.51,sep-mar,Amusement Park,southern,5.5,4.6,high
113,Wonderla Amusement Park,Kerala,entertainment,4.51,sep-mar,Amusement Park,southern,5.5,4.6,high
114,Mysore Palace,Karnataka,historical,4.74,nov-feb,Palace,southern,2,4.6,medium
115,Hampi Archaeological Ruins,Karnataka,historical,3.71,nov-feb,Site,southern,3,4.7,medium
116,Abbey Falls,Karnataka,nature,4.41,oct-feb,Waterfall,southern,1,4.1,medium
117,Om Beach,Karnataka,nature,3.68,oct-feb,Beach,southern,2,4.5,low
118,Mullayanagiri,Karnataka,nature,3.66,oct-mar,Mountain Peak,southern,3,4.5,medium
119,Badami Cave Temples,Karnataka,nature,3.78,oct-feb,Cave,southern,1.5,4.6,low
120,Jog Falls,Karnataka,nature,4.3,nov-feb,Waterfall,southern,1.5,4.6,medium
121,Panambur Beach,Karnataka,nature,4.6,oct-feb,Beach,southern,1.5,4.5,low
122,Murudeshwar Temple,Karnataka,religious,3.89,nov-feb,Temple,southern,1,4.7,low
123,Gol Gumbaz,Karnataka,historical,3.74,nov-feb,Mausoleum,southern,1.5,4.5,medium
124,Bandipur National Park,Karnataka,wildlife,3.77,nov-feb,National Park,southern,3,4.4,medium
125,Halebidu Hoysaleswara Temple,Karnataka,religious,4.33,sep-mar,Temple,southern,1,4.7,low
126,Shaniwar Wada,Maharashtra,historical,4.14,sep-mar,Fort,western,2,4.4,medium
127,Ajanta Caves,Maharashtra,nature,3.94,nov-feb,Cave,western,3,4.6,low
128,Sula Vineyards,Maharashtra,nature,3.83,oct-mar,Vineyard,western,2,4.1,medium
129,Sai Baba Temple,Maharashtra,religious,3.88,oct-mar,Temple,western,1.5,4.7,low
130,Alibaug Beach,Maharashtra,nature,3.61,sep-mar,Beach,western,1.5,4.2,low
131,Ganapatipule Temple,Maharashtra,religious,3.53,sep-mar,Temple,western,1,4.7,low
132,Deekshabhoomi,Maharashtra,historical,4,oct-mar,Monument,western,1,4.5,medium
133,Mahalakshmi Temple,Maharashtra,religious,4.36,sep-mar,Temple,western,1,4.8,low
134,Karla Caves,Maharashtra,nature,3.83,oct-mar,Cave,western,1.5,4.4,low
135,Tarkarli Beach,Maharashtra,nature,4.62,oct-feb,Beach,western,2,4.6,low
136,Kaas Plateau,Maharashtra,nature,4.35,nov-feb,Valley,western,2,4.4,medium
137,Echo Point,Maharashtra,nature,4.18,sep-mar,Viewpoint,western,1.5,4.4,low
138,Ellora Caves,Maharashtra,nature,4.47,nov-feb,Cave,western,3,4.7,low
139,Khajuraho Group Of Monuments,Madhya Pradesh,religious,4.29,oct-mar,Temples,central,2,4.7,medium
140,Sanchi Stupa,Madhya Pradesh,historical,4.35,oct-feb,Monument,central,1.5,4.7,medium
141,Rajwada Palace,Madhya Pradesh,historical,4.62,sep-mar,Palace,central,1,4.4,medium
142,Gwalior Fort,Madhya Pradesh,historical,4.06,nov-feb,Fort,central,2.5,4.5,medium
143,Mahakaleshwar Jyotirlinga,Madhya Pradesh,religious,3.68,sep-mar,Temple,central,1.5,4.8,low
144,Dhuandhar Falls,Madhya Pradesh,nature,4.38,oct-feb,Waterfall,central,1,4.5,medium
145,Bee Falls,Madhya Pradesh,nature,3.93,sep-mar,Waterfall,central,1.5,4.6,medium
146,Kanha National Park,Madhya Pradesh,wildlife,4.12,oct-feb,Wildlife Sanctuary,central,3,4.5,medium
147,Bandhavgarh National Park,Madhya Pradesh,wildlife,3.71,sep-mar,National Park,central,3,4.5,medium
148,Orchha Fort,Madhya Pradesh,historical,4.79,nov-feb,Fort,central,1.5,4.8,medium
149,Jahaz Mahal,Madhya Pradesh,historical,4.02,nov-feb,Site,central,1,3.9,medium
150,Bhimbetka Rock Shelters,Madhya Pradesh,historical,4.49,oct-mar,Prehistoric Site,central,2,4.6,medium
151,Narmada Udgam Temple,Madhya Pradesh,religious,4.33,nov-feb,Temple,central,1,4.4,low
152,Chitrakoot Falls,Madhya Pradesh,nature,3.97,oct-feb,Waterfall,central,1.5,4.4,medium
153,The Ridge,Himachal Pradesh,nature,4.79,oct-mar,Scenic Point,northern,1,4.7,medium
154,Solang Valley,Himachal Pradesh,nature,4.66,sep-mar,Valley,northern,2,4.1,medium
155,Dalai Lama Temple,Himachal Pradesh,religious,4.56,sep-mar,Temple,northern,1.5,4.7,low
156,Khajjiar Lake,Himachal Pradesh,nature,3.75,oct-mar,Lake,northern,1.5,4.5,low
157,Key Monastery,Himachal Pradesh,religious,3.58,oct-mar,Monastery,northern,1,4.8,medium
158,Great Himalayan National Park,Himachal Pradesh,wildlife,3.51,nov-feb,National Park,northern,3,4.5,medium
159,Chamera Lake,Himachal Pradesh,nature,4.31,nov-feb,Lake,northern,2,4.4,low
160,Sangla Valley,Himachal Pradesh,nature,4.19,nov-feb,Valley,northern,2,4.5,medium
161,Kangra Fort,Himachal Pradesh,historical,4.73,oct-feb,Fort,northern,2,4.4,medium
162,Tea Gardens,Himachal Pradesh,nature,4.14,nov-feb,Tea Plantation,northern,1.5,4.6,medium
163,Prashar Lake,Himachal Pradesh,nature,4.36,oct-feb,Lake,northern,1.5,4.6,low
164,Paragliding Site,Himachal Pradesh,adventure,3.83,sep-mar,Adventure Sport,northern,2,4.8,medium
165,Triund Trek,Himachal Pradesh,adventure,3.8,oct-mar,Trekking,northern,5,4.8,high
166,Manikaran Sahib,Himachal Pradesh,religious,3.79,oct-feb,Gurudwara,northern,1,4.6,low
167,Hatu Peak,Himachal Pradesh,nature,4.36,nov-feb,Viewpoint,northern,2,4.5,low
168,Barot Valley,Himachal Pradesh,nature,4.32,oct-feb,Valley,northern,2,4.7,medium
169,Serolsar Lake,Himachal Pradesh,nature,3.84,oct-mar,Lake,northern,2.5,4.4,low
170,Kufri Fun World,Himachal Pradesh,adventure,4.23,oct-mar,Ski Resort,northern,5,3.8,high
171,Naini Lake,Uttarakhand,nature,3.98,nov-feb,Lake,northern,1.5,4.2,low
172,Laxman Jhula,Uttarakhand,city,3.84,oct-mar,Suspension Bridge,northern,1,4.4,medium
173,Har Ki Pauri,Uttarakhand,city,3.65,sep-mar,Ghat,northern,1,4.5,medium
174,Robber'S Cave,Uttarakhand,nature,4.18,nov-feb,Cave,northern,1.5,4.5,low
175,Kempty Falls,Uttarakhand,nature,3.55,oct-mar,Waterfall,northern,1.5,4.2,medium
176,Auli Ski Resort,Uttarakhand,adventure,3.94,nov-feb,Ski Resort,northern,3,4.5,high
177,Badrinath Temple,Uttarakhand,religious,4.68,sep-mar,Temple,northern,1,4.8,low
178,Binsar Wildlife Sanctuary,Uttarakhand,wildlife,4.76,oct-mar,Wildlife Sanctuary,northern,2,4.3,medium
179,Chaubatia Gardens,Uttarakhand,nature,3.99,oct-mar,Orchard,northern,1,4,medium
180,Jim Corbett National Park,Uttarakhand,wildlife,4.02,nov-feb,National Park,northern,3,4.4,medium
181,Gangotri Temple,Uttarakhand,religious,4.58,nov-feb,Temple,northern,1,4.8,low
182,Tungnath Temple,Uttarakhand,religious,3.76,oct-feb,Temple,northern,2,4.8,low
183,Valley Of Flowers,Uttarakhand,wildlife,4.1,oct-mar,National Park,northern,5,4.7,medium
184,Taj Mahal,Uttar Pradesh,historical,4.67,nov-feb,Mausoleum,northern,2,4.6,medium
185,Kashi Vishwanath Temple,Uttar Pradesh,religious,4.49,nov-feb,Temple,northern,1,4.7,low
186,Bara Imambara,Uttar Pradesh,historical,4.62,sep-mar,Monument,northern,1.5,4.4,medium
187,Krishna Janmabhoomi,Uttar Pradesh,religious,4.16,oct-mar,Temple,northern,1,4.7,low
188,Ram Janmabhoomi,Uttar Pradesh,religious,4.14,nov-feb,Religious Site,northern,1,4.8,low
189,Banke Bihari Temple,Uttar Pradesh,religious,4.32,oct-mar,Temple,northern,1,4.8,low
190,Triveni Sangam,Uttar Pradesh,nature,4.42,oct-mar,Confluence,northern,1,4.5,medium
191,Jhansi Fort,Uttar Pradesh,historical,4.41,sep-mar,Fort,northern,1.5,4.4,medium
192,Dhamek Stupa,Uttar Pradesh,historical,4.51,oct-mar,Monument,northern,1,4.6,medium
193,Buland Darwaza,Uttar Pradesh,historical,4.1,oct-feb,Monument,northern,2,4.4,medium
194,Okhla Bird Sanctuary,Uttar Pradesh,wildlife,4.54,oct-feb,Bird Sanctuary,northern,1.5,4.3,medium
195,Aligarh Fort,Uttar Pradesh,historical,4.07,oct-feb,Fort,northern,1,4.1,medium
196,Augarnath Temple,Uttar Pradesh,religious,3.81,nov-feb,Temple,northern,1,4.8,low
197,Allen Forest Zoo,Uttar Pradesh,wildlife,3.81,sep-mar,Zoo,northern,2,4.2,medium
198,Dal Lake,Jammu and Kashmir,nature,3.51,oct-feb,Lake,northern,2,4.6,low
199,Pangong Tso,Ladakh,nature,4.08,nov-feb,Lake,northern,2,4.9,low
200,Betaab Valley,Jammu and Kashmir,nature,4.73,nov-feb,Valley,northern,2,4.6,medium
201,Vaishno Devi,Jammu and Kashmir,religious,4.46,sep-mar,Temple,northern,5,4.7,low
202,Patnitop Height,Jammu and Kashmir,nature,4.27,nov-feb,Hill,northern,2,4.1,medium
203,Amarnath Cave,Jammu and Kashmir,religious,3.84,oct-mar,Temple,northern,6,4.5,low
204,Thiksey Monastery,Ladakh,religious,4.58,oct-feb,Monastery,northern,1.5,4.7,medium
205,Bhitarkanika National Park,odisha,wildlife,4.4,nov-mar,national park,eastern,4,4.6,medium
206,Nubra Valley,Ladakh,nature,4.52,nov-feb,Valley,northern,2,4.5,medium
207,Kargil War Memorial,Ladakh,historical,4.02,oct-feb,War Memorial,northern,1,4.8,low
208,Diskit Monastery,Ladakh,religious,3.7,nov-feb,Monastery,northern,1,4.7,medium
209,Kishtwar National Park,Jammu and Kashmir,wildlife,4.34,sep-mar,National Park,northern,3,4.3,medium
210,Hemis National Park,Ladakh,wildlife,4.75,nov-feb,National Park,northern,4,4.4,medium
211,Dras War Memorial,Ladakh,historical,4.46,nov-feb,War Memorial,northern,1,4.8,low
212,Magnetic Hill,Ladakh,city,3.75,oct-feb,Gravity Hill,northern,0.5,3.7,medium
213,Khardung La Pass,Ladakh,nature,4.36,oct-feb,Hill,northern,1,4.5,medium
214,Prem Mandir,Uttar Pradesh,religious,3.72,oct-mar,Temple,northern,1.5,4.8,low
215,Kirti Mandir,Uttar Pradesh,historical,4.57,oct-mar,Memorial,northern,1,4.8,low
216,Nand Gaon,Uttar Pradesh,city,3.77,sep-mar,Village,northern,1,4.1,medium
217,Barsana Mandir,Uttar Pradesh,religious,4.61,oct-mar,Temple,northern,1,4.8,low
218,Tiger Hill,West Bengal,city,4.4,oct-mar,Sunrise Point,eastern,1,4.5,medium
219,Jaldapara National Park,West Bengal,wildlife,4.33,nov-feb,Wildlife Sanctuary,eastern,3,4.4,medium
220,Sundarbans National Park,West Bengal,wildlife,4.45,sep-mar,National Park,eastern,4,4.4,medium
221,Digha Beach,West Bengal,nature,4.05,oct-mar,Beach,eastern,1.5,4.5,low
222,Hazarduari Palace,West Bengal,historical,4.78,oct-mar,Palace,eastern,1.5,4.5,medium
223,Kankalitala Temple,West Bengal,religious,4.52,oct-feb,Temple,eastern,0.5,4.7,low
224,Hangseswari Temple,West Bengal,religious,3.93,oct-feb,Temple,eastern,0.5,4.6,low
225,Gorumara National Park,West Bengal,wildlife,4.77,oct-mar,National Park,eastern,3,4.4,medium
226,Cooch Behar Palace,West Bengal,historical,3.69,sep-mar,Palace,eastern,1,4.5,medium
227,Ayodhya Hills,West Bengal,nature,4.25,oct-feb,Hill,eastern,2.5,4.5,medium
228,Jagannath Temple,Odisha,religious,3.56,oct-feb,Temple,eastern,2,4.7,low
229,Sun Temple,Odisha,religious,4.74,oct-mar,Temple,eastern,1.5,4.7,low
230,Lingaraj Temple,Odisha,religious,4.29,sep-mar,Temple,eastern,1,4.6,low
231,Khandadhar Waterfall,Odisha,nature,4.66,nov-feb,Waterfall,eastern,1.5,4.5,medium
232,Barabati Fort,Odisha,historical,4.3,sep-mar,Fort,eastern,1,4.5,medium
233,Hirakud Dam,Odisha,city,3.53,nov-feb,Dam,eastern,1,4.5,medium
234,Chilika Lake,Odisha,nature,4.68,oct-mar,Lake,eastern,2,3.9,low
235,Tara Tarini Temple,Odisha,religious,4.72,oct-mar,Temple,eastern,1,4.6,low
236,Badaghagara Waterfall,Odisha,nature,4.27,oct-mar,Waterfall,eastern,1,4.3,medium
237,Chandipur Beach,Odisha,nature,4.35,nov-feb,Beach,eastern,1.5,4.2,low
238,Sanaghagara Waterfall,Odisha,nature,4.11,oct-feb,Waterfall,eastern,1,4.4,medium
239,Marina Beach,Tamil Nadu,nature,4.64,sep-mar,Beach,southern,1.5,3.9,low
240,Meenakshi Amman Temple,Tamil Nadu,religious,3.85,nov-feb,Temple,southern,2,4.7,low
241,Ramanathaswamy Temple,Tamil Nadu,religious,4.51,nov-feb,Temple,southern,1.5,4.6,low
242,Chhota Imambara,Uttar Pradesh,historical,4.3,oct-mar,Monument,northern,2,4.5,medium
243,Vivekananda Rock Memorial,Tamil Nadu,historical,3.81,sep-mar,Memorial,southern,1,4.6,low
244,Ooty Lake,Tamil Nadu,nature,4.29,nov-feb,Lake,southern,1,4.1,low
245,Marudamalai Temple,Tamil Nadu,religious,4.11,oct-feb,Temple,southern,1,4.7,low
246,Kodaikanal Lake,Tamil Nadu,nature,4.6,oct-feb,Lake,southern,2,3.9,low
247,Brihadeeswarar Temple,Tamil Nadu,religious,4.58,sep-mar,Temple,southern,1.5,4.8,low
248,Shore Temple,Tamil Nadu,religious,3.58,oct-mar,Temple,southern,1,4.6,low
249,Yercaud Lake,Tamil Nadu,nature,3.69,sep-mar,Lake,southern,1,4.2,low
250,Nellaiappar Temple,Tamil Nadu,religious,3.93,oct-feb,Temple,southern,1,4.6,low
251,Nataraja Temple,Tamil Nadu,religious,3.89,nov-feb,Temple,southern,1,4.7,low
252,Kanaka Durga Temple,Andhra Pradesh,religious,4.58,oct-mar,Temple,southern,1,4.7,low
253,Rishikonda Beach,Andhra Pradesh,nature,4.06,nov-feb,Beach,southern,1.5,4.5,low
